sample	genotype	Casp1	Ripk3	Stat3	Gsk3b	Ctgf	Tgfb1	IL11	Fn1	Col1a1	Tph1	IL1b	Cxcl1	Mmp3	Acta2	Fap	Dnmt3a	actb
blm	ko	35.52043915	29.16376019	27.74876404	29.81896687	29.45080185	27.47389984	34.55776596	19.87889004	21.69667721	39.22329712	38.2298069	32.22492218	31.45552731	31.6084013	38.13412857	30.72574711	22.21273518
blm	ko	35.66039848	29.52638912	27.69056797	29.50491047	29.75174141	27.12501621	34.36957932	19.85292435	21.11385536	38.59883118	38.64525223	31.95995808	31.37882137	31.77927971	37.60179329	30.41581249	21.95667458
blm	ko	35.80891418	29.36479282	27.52993679	29.6192379	30.1454277	27.21993828	34.31159019	19.78475666	21.15275097	39.31011009	38.56433868	31.40309525	31.75269127	31.83371544	38.25865555	30.48454094	21.99080753
tgf	ko	35.98374557	28.53455925	26.87856674	29.15184975	27.44089127	26.45730686	31.88729095	19.18738079	20.85704327	40.14354706	NA	31.16553593	29.74116707	30.80370998	37.22009659	29.97252655	21.51322937
tgf	ko	35.83511543	28.54013348	26.9710989	29.08048248	27.51644897	26.26757526	31.55270863	19.23170471	20.90905666	40.04343033	NA	30.85358047	29.37613201	30.80444527	38.10372353	29.87994385	21.54974079
tgf	ko	35.16443634	27.39162064	27.63177586	29.43407345	26.73845387	26.88502979	31.63835144	19.24049187	21.61404991	NA	NA	32.46701431	29.43161964	30.93721962	38.60386658	30.66009331	21.21746922
tgf_egf	ko	35.70234108	28.447752	27.84929276	29.39803123	27.11588287	26.57586002	31.03553009	20.43484211	21.54736519	NA	NA	31.1754961	30.3520174	30.96745586	37.08010864	30.31459522	21.56497574
tgf_egf	ko	36.06155968	28.78450966	27.1205883	29.42888641	27.46461296	26.64869022	31.6070137	19.26696587	21.02390575	NA	NA	31.5238409	30.4362402	31.10184193	37.69968033	30.36122704	21.71876049
tgf_egf	ko	35.46179199	27.8104887	27.56508446	29.44083405	27.17904377	26.852005	30.96928024	19.20001984	21.91598225	NA	NA	31.97669792	28.89148998	31.36507416	38.23643303	30.50835705	21.30485153
ctrl	ko	35.84553719	29.11100674	27.54867554	29.45289898	29.84008217	27.20149422	34.0296669	19.7904253	21.07034302	40.14224243	38.54048538	31.71968842	32.00987434	31.11854744	37.45278549	30.37814903	21.82243252
ctrl	ko	35.8373642	29.03194237	27.45463276	29.45563126	30.06873417	27.1579895	34.85147476	20.03310585	21.05708599	40.02194214	NA	32.3328228	32.02418137	31.35933113	38.63375854	30.23431206	21.87211895
ctrl	ko	36.13856316	29.06666756	27.77256489	29.41490078	30.05347729	27.14927959	34.26022148	20.10383224	21.03733349	39.10557175	NA	31.96030331	32.21718788	31.18953323	39.0599308	30.24012375	21.85077667
blm	wt	35.71502495	36.99569511	28.45603848	30.72908401	28.25706005	28.80816555	34.71001434	21.08744431	20.88473988	39.95676422	36.69741821	30.91435337	38.93299103	32.26486588	38.74406052	30.58972645	22.41753387
blm	wt	35.81112862	36.22954559	27.71190453	29.92733765	30.03213978	27.74464989	34.2173233	20.41161633	19.62227726	40.4975605	NA	32.14321709	37.29175186	32.97524452	36.4499054	29.83960342	22.07113075
blm	wt	35.43573761	37.18718338	27.89254856	29.93124008	29.92727757	27.82834339	34.35211754	20.37890148	19.78636646	NA	38.01700401	32.02426243	38.09206009	32.98480415	36.82603073	29.89706039	21.86341953
tgf	wt	37.27576447	37.64923668	27.45373821	28.05582809	27.81969929	26.94900799	33.92377663	18.65440655	20.56094933	NA	NA	33.69612312	NA	32.81383705	36.70019341	29.29412746	22.80791283
tgf	wt	37.31530571	35.56486893	27.69097233	28.71735001	27.28175926	27.08921719	33.70825195	19.03864765	20.05050087	NA	NA	32.87156677	NA	32.480093	36.27674866	29.88725662	22.89481258
tgf	wt	37.94866562	38.41181755	27.40637875	27.95575333	27.91757011	27.20597839	33.82663345	18.69442368	20.65648079	39.90941238	NA	33.81159592	NA	32.74560738	36.58821869	29.57635975	22.95795918
tgf_egf	wt	37.26749229	40.50692177	27.73345852	28.61161232	26.36660385	27.11261559	33.45889473	19.14530277	20.26347256	NA	NA	32.69867706	NA	32.59732628	37.36485291	30.01337051	22.75055981
tgf_egf	wt	36.80077744	38.68462563	27.05691051	27.89597988	27.05191994	26.82471943	33.22696686	18.43901348	20.36075211	40.10333633	NA	32.73231697	NA	32.06470871	36.44989777	29.11508846	22.80545521
tgf_egf	wt	36.71429634	35.05719185	27.59990025	29.4029007	25.47503185	26.85667992	32.67971611	18.92428493	20.05762196	NA	NA	30.88792229	NA	32.35460281	36.16845703	30.16196918	21.9081831
ctrl	wt	35.98537827	35.82818031	28.07499981	29.68755722	26.75781631	28.05807495	33.03593445	20.5173769	20.56696892	40.23557663	NA	30.6908226	NA	32.40866089	36.75439072	29.93199253	21.73212242
ctrl	wt	35.40341187	36.04129219	28.44583511	30.14365768	28.16699123	28.40216732	34.58114052	21.41988468	20.66905975	NA	NA	31.48757458	38.90842056	33.19989967	37.31219482	30.24981594	21.53927135
ctrl	wt	36.70425415	37.19129562	28.04631233	29.67002869	27.55372047	28.0036726	32.86107826	20.27851105	20.63699532	NA	NA	30.78087807	NA	32.32732773	36.37313271	30.14875126	21.92765522
